序号,单词,音标,词义
123,basketball ,"bɑ:skitbɔ:l, 'bæs-",n．篮球
124,bath,bɑ:θ/bæθ,n．洗澡
125,battle ,'bætl,n．战斗；战役
126,be,bi:,"v． 是；成为（原形，其人称和时态形式有am,is,are,was,
were,being, been)"
127,beach ,bi:tʃ,n．海滨，海滩
128,bear ,beə,n．熊
129,beat ,bi:t,"v.1. 敲打；跳动；2. 打赢 
(beat, beaten)"
130,beautiful ,'bju:tiful,adj．美丽的
131,beautifully ,'bju:təfli,adv．优美地
132,because ,bi'kɔz,conj．因为
133,become,bi'kʌm," v．变得；成为
（became，become）"
134,bed ,bed,n．床
135,bedroom ,'bedru(:)m,n．卧室
136,before ,bi'fɔ:,"prep．在……以面；在……前面
adv．以前
conj．在……之前"
137,beg,beɡ,v．请求，乞求，乞讨
138,begin,bɪˈgɪn,"v．开始，着手
（began，begun）"
139,beginning ,bi'ɡiniŋ,n.开始；开端
140,behind ,bi'haind,prep．在……后面
141,adv．, ,在后面；向后
142,being ,'bi:ŋ,n．生物；人
143,believe ,bi'li:v,v．相信，认为
144,bell ,bel,n．钟，铃
145,belong,bi'lɔŋ,v．属，附属
146,below ,bi'ləu,prep．在……下面
147,belt ,belt,n．（皮）带；带子
148,beside ,bi'said,prep．在……旁边；靠近
149,besides ,bi'saidz,"prep．除……以外（还有）
adv.还有，此外"
150,best,best,"adj.& adv. 最好的;最好地，最
n．最好的（人或物）
（good和well的最高级）"
151,better,betə,"adj. & adv.较好的,更好的；更好地
n.较好的事物；较优者
（good和well的比较级） "
152,between ,bi'twi:n,prep．在（两者）之间；在……中间
153,bicycle ,'baisikl,n．自行车(=bike)
154,big ,biɡ,adj．大的
155,bill ,bil,n．1. 帐单；2. 钞票，纸币
156,bin ,bin,n．箱子；垃圾箱
157,bird ,bə:d,n．鸟
158,birthday ,'bə:θdei,n．生日
159,bit ,bɪt,n．一点；一些；少量的
160,bite,bait," v．咬；盯
（bit，bitten／bit）"
161,black ,blæk,"n．黑色
adj.黑色的"
162,blackboard ,'blækbɔ:d,n．黑板
163,blanket ,'blæŋkit,n．毯子
164,blind,blaind,"adj．瞎的
n.盲人"
165,block,blɑ:k,n．1.一排房屋；街区（街道中间的区域）；2.大块
166,blood,blʌd,n.血，血液
167,blow ,bləu,"v．吹；刮风；吹气
（blew，blown）"
168,blue ,blu,"n．蓝色
adj.蓝色的"
169,board ,bɔ:d,"n．板；木板
v．登，上（船，火车，飞机等）"
170,boat,bəut,"n.小船，小舟
v．划船（游玩）"
171,body ,'bɔdi,n．身体
172,boil ,bɔil,v．沸腾；煮
173,book ,buk,"n．书；本子
v．预订，订（房间，车票，座位等）"
174,boring ,'bɔ:riŋ,adj．乏味的；无聊的；令人厌烦的
175,born,bɔ:n,v.出生（动词bear的过去分词）
176,borrow,'bɔrəu,v．（向别人）借用；借
177,both ,bəuθ,"pron．两者（都）；双方（都）；
adj.两……（都）；双
adv．两个都"
178,bottle ,'bɔtl,n．瓶子
179,bottom ,'bɔtəm,n．底部
180,bowl ,bəul,n．碗
181,box ,bɔks,n．盒子；箱子
182,boy ,bɔi,n．男孩
183,brain,brein,n.脑
184,brave ,breiv,adj．勇敢的
185,bread ,bred,n．面包
186,break,brek,"v．打破（断，碎）；损坏；违反
n.休息；间隙
（broke，broken） "
187,breakfast ,'brekfəst,n．早餐
188,breath ,breθ,n．呼吸
189,bridge ,bridʒ,n．桥
190,bright ,brait,adj．明亮的；聪明的
191,bring,briŋ,"v．拿来；带来
（brought，brought） "
192,Britain ,'britən,n．英国；不列颠
193,British ,'britiʃ,"n．英国人
adj.英国的；英国人的"
194,broadcast ,"'brɔ:dkɑ:st, -kæst",n．广播节目
195,brother ,'brʌðə,n．兄；弟
196,brown ,braun,"n．褐色；棕色
adj.褐色的；棕色的"
197,brush ,brʌʃ,"n．刷子
v．刷；擦"
198,build,bild,"v．建筑；建造
（built，built） "
199,building ,'bildiŋ,n．建筑物；大楼
200,bund,bʌnd,n．外滩（the Bund）
201,burn ,bə:n," v．燃烧；着火；使烧焦
（burned，burned或burnt , burnt）"
202,bus ,bʌs,n．公共汽车
203,business ,'biznis,n．生意；事业；商业
204,businessman ,'biznismæn,n．商人
205,busy ,'bizi,adj．忙（碌）的
206,but ,"强 bʌt, 弱 bət, bʌt",conj．但是
207,butter ,'bʌtə,n．黄油，奶油
208,butterfly ,'bʌtəflai,n．蝴蝶
209,button , ,n．纽扣；（电铃等的）按钮
210,buy ,bai,v．买（bought，bought）
211,by ,bai,"prep．1.靠近；在……旁边；
2. 在……时间；不迟于
3.（用于被动语态）被；
4.（表示方法，手段）用，由；
5.（指交通工具等）乘（车）"
212,bye ,bai,int．再见
213,cabbage ,ˈkæbɪdʒ,n．卷心菜
214,cake ,keik,n．蛋糕；糕点；饼
215,call ,kɔ:l,"v．1.打电话给…… 2.称呼；取名；3.呼唤；喊；叫
n.1. 喊；叫；2.电话；通话"
216,camera ,'kæmərə,n．照相机
217,camp ,kæmp,n．（夏令）营；野营
218,can,kæn,"aux．& v．可能; 能够；可以；会
n. (美)罐头；罐子
（could）
can’t = can not "
219,Canada ,'kænədə,n．加拿大
220,Canadian ,kə'neidiən,"adj．加拿大的
n.加拿大人"
221,cancel, ˈkænsəl,v.取消
222,capital ,'kæpitəl,n．首都
223,captain,'kæptin,n．船长
224,car ,kɑ:,n．小汽车
225,card,kɑ:d,n．卡片
226,care ,kεə,"n．照料，保护；小心
v. 介意；在乎；关心"
227,careful ,'kεəful,adj．小心的；仔细的
228,carefully ,'kɛəfəli,adv．小心地；仔细地
229,carrot ,'kærət,n．胡萝卜
230,carry,'kæri,v．拿，搬，提，抬，背，抱，携带，运送等
231,cartoon ,kɑ:'tu:n,n．动画片；漫画
232,case ,keis,n．1. 情况；案件；2. 箱；盒
233,cat ,kæt,n．猫
234,catch,kætʃ,"v．1.接住；2.捉住；3.赶上（车辆）；4.染上（疾病）；5.弄清楚；领会；理解
（caught，caught） "
235,cause ,kɔ:z,"n．原因，起因
v．促使，引起，使发生"
236,cave,keiv,n.洞，穴；地窖
237,celebrate ,ˈsɛləˌbret,v．庆祝
238,cent ,sent,n．美分（100 cents = 1 dollar）
239,center,'sentə,n．中心，中央
240,century,'sentʃuri,n．世纪，百年
241,certainly ,'sə:tənli,adv．当然；是的；一定；无疑
242,chair ,tʃεə,n．椅子
243,chance ,"tʃɑ:ns, tʃæns",n．机遇
244,change,tʃeindʒ,"v．1.改变，变化；2.更换；3.兑换（零钱）
n.1. 零钱；找头； 2. 变化"
245,changeable ,'tʃeindʒəbl,adj．易变的；变化无常的
246,channel ,'tʃænəl,n．（电视）频道
247,charge ,tʃɑ:dʒ,n．主管，掌管
248,charity,'tʃærəti,n．慈善
249,cheap ,tʃi:p,adj．便宜的
250,check ,tʃɛk,"n． 检查；批改；支票
v. 核对；检查"
251,cheer,tʃiə,n.&v．欢呼；喝彩
252,cheese ,tʃi:z,n．奶酪
253,chemical ,'kemikəl,"n.化学品；化学物质
adj．化学的"
254,chemistry ,'kemistri,n．化学
255,chess ,tʃes,n．棋
256,chicken ,ˈtʃɪkən,n．鸡；鸡肉
257,chief,tʃi:f,"adj.主要的，首要的
n.领导，头"
258,child,tʃaɪld," n．孩子；儿童
（复children） "
259,childhood,'tʃaildhud,n.幼年时代，童年
260,China ,tʃaɪnə,n．中国
261,china,tʃaɪnə,n.瓷器
262,Chinese ,",tʃai'ni:z","adj.中国的；中国人的；汉语的
n．中国人；汉语"
263,chocolate ,'tʃɔkəlit,n．巧克力
264,choice ,tʃɔis,n．选择
265,choose,tʃu:z,"v．选择
（chose，chosen）"
266,Christmas ,ˈkrɪsməs,n．圣诞节
267,church ,tʃə:tʃ,n．教堂
268,cigarette ,",siɡə'ret, 'siɡ-",n．香烟
269,cinema ,'sinəmə,n．电影院；电影
270,circle ,'sə:kl,"n．圆圈
v．将……圈起来"
271,citizen ,'sitizən,n．公民；居民；市民
272,city ,'siti,n．城市
273,class ,klɑ:s,n．（学校里德）班级；课；等级
274,classmate ,'klɑ:smeit,n．同班同学
275,classroom ,'klɑ:srum,n．教室
276,clean ,kli:n,"v.弄干净；打扫
adj．清洁的；干净的"
277,clear ,kliə,"adj．清晰的；明亮的；清楚的
v．清除；清扫；"
278,clearly ,'kliəli,adv．清晰地；明亮地；清楚地
279,clerk ,klɑ:k,n．职员，办事员
280,clever ,ˈklevə(r),adj．聪明的
281,climb ,klaim,v．爬；攀登
282,clinic ,'klinik,n．诊所，医务室
283,clock ,klɔk,n．时钟
284,close,kləuz,"v．关，关闭
adj.亲密的；近，靠近
adv．近；靠近"
285,clothes ,kləuðz,n．衣服
286,cloud ,klaud,n．云
287,cloudy ,'klaudi,adj．多云的；阴天的
288,club,klʌb,n．俱乐部
289,coat ,kəut,n．外套；上衣
290,coffee ,'kɔfi,n．咖啡
291,coin ,kɔin,n．硬币
292,cold ,kəuld,"adj．冷的；寒冷的
n.寒冷；感冒；伤风"
293,collect,kə'lekt,v．收集；采集
294,collection ,kə'lekʃən,n．收集
295,college ,'kɔlidʒ,n．学院
296,color,'kʌlə,"n．颜色
v．涂色"
297,come,kʌm,"v．来；来到
（came，come）"
298,comfortable ,'kʌmfətəbl,adj．舒服的
299,common ,'kɔmən,adj．普通的，一般的；共有的
300,communicate ,kəˈmju:nɪkeɪt,v．交流；交际；传达（感情，信息等）
301,company ,'kʌmp(ə)ni,n．公司
302,compare,kəmˈpeə(r),v．比较，对照
303,competition ,",kɔmpi'tiʃən",n．比赛，竞赛
304,complain,kəm'plein,v.抱怨；投诉
305,complete ,kəm'pli:t,"adj．完成的，完整的，完全的
v．完成，结束"
306,completely,kəm'pli:tli,adv．完全地；完整地
307,computer ,kəm'pju:tə,n．电脑
308,concert ,"kən'sə:t, 'kɔnsə:t",n．音乐会；演奏会
309,conclusion,kən'klu:ʒən,n.结论；结束，结局
310,conference ,ˈkɒnfərəns,n．（正式得）会议；讨论会
311,confident                          ,'kɔnfidənt,adj.自信的
312,confuse,kən'fju:z,v．使困惑；扰乱；分不清
313,congratulation ,"kən,ɡrætʃu'leiʃən",n．祝贺
314,connect,kə'nekt,v.连接；把……联系起来
315,consist,kənˈsɪst,v．包含；组成；构成
316,contest ,ˈkɒntest,n．竞赛
317,continue ,kən'tinju:,v．继续
318,control,kən'trəul,v．& n．控制
319,convenient ,kənˈvi:niənt,adj．便利的；方便的
320,conversation,ˌkɒnvəˈseɪʃn,n. 会话；谈话
321,cook ,kuk,"n．厨师；炊事员
v．烹调；做饭"
322,cool ,ku:l,adj．凉的；凉爽的；酷
323,copy ,'kɔpi,"n．抄本；副本；一本（份，册）
v．1.抄写；复印；2.（计算机用语）拷（备份）3. 模仿"
324,corner ,'kɔ:nə,n．角；角落；拐角
325,correct ,kə'rekt,"adj．正确的，对的，恰当的
v．改正；纠正"
326,cost,kɔst,"v．值（多少钱）；花费
（cost，cost）"
327,cotton ,'kɔtən,n．棉花
328,cough ,kɔ:f,v．& n．咳嗽
329,count ,kaunt,v．数
330,country ,ˈkʌntri,n．国家；农村；乡下
331,couple,'kʌpl,n．夫妇；一对，一双，一副
332,course ,kɔ:s,n．过程；经过；课程
333,cousin ,'kʌzən,n．堂（表）兄弟；堂（表）姐妹
334,cover,ˈkʌvə(r),"v．覆盖；遮盖；掩盖
n.盖子；罩；封面"
335,crazy,'kreizi,adj．疯狂的
336,cream,kri:m,n.奶油，乳脂
337,create,kri'eit,v.创造；造成
338,cross ,krɒs,"n．十字行的东西
v．穿越；穿过"
339,crowded ,'kraudid,adj．拥挤的
340,cry,krai,"v．喊叫；哭
n. 叫喊；哭声"
341,culture ,'kʌltʃə,n．文化
342,cup ,kʌp,n．茶杯，杯子
343,custom ,ˈkʌstəm,n．习惯，习俗
344,customer ,'kʌstəmə,n．顾客；主顾
345,cut,kʌt,"v．切；剪；削；割
（cut，cut）"
346,cute             ,kju:t,adj. 可爱的，漂亮迷人的
347,cycle,'saikl,v．骑（自行）车
348,dad,dæd,n.（口语）爸爸
349,daily ,'deili,"adj． 每日的；日常的
adv.每天
n. 日报"
350,damage,ˈdæmɪdʒ,"n. & v．破坏, 损害"
351,dance,"dɑ:ns, dæns",n. & v．跳舞
352,danger ,'deindʒə,n．危险
353,dangerous ,'deindʒərəs,adj．危险的
354,dare,dεə,"v.（后接不带to的不定式，主要用于疑问，
否定或疑问句）敢， 敢于"
355,dark ,'dɑ:k,"n．黑暗；暗处；深色
adj.黑暗的； 暗淡的；深色的"
356,date ,deit,n．日期；约会
357,daughter ,'dɔ:tə,n．女儿
358,day ,dei,n．（一）天，（一）日；白天
359,dead ,ded,adj．死的；无生命的
360,deal,di:l,"v．对付；分配，分给；给予；经营，
（dealt，dealt）"
361,dear ,diə,adj．亲爱的； 贵的
362,death ,deθ,n．死亡
363,debate,di'beit,v. & n.争论，辩论；讨论
364,December ,di'sembə,n．十二月
365,decide ,di'said,v．决定；下决心
366,decision ,di'siʒən,n．决定；决心
367,decorate ,'dekəreit,v．装饰
368,deep ,di:p,adj．深
369,degree ,di'ɡri:,n．程度；度数；学位
370,delay,di'lei,v.& n.拖延，延误，延期
371,delicious ,di'liʃəs,adj．美味的，可口的
372,deliver ,di'livə,v．投递（信件，邮包等）；传送
373,dentist ,'dentist,n．牙科医生
374,deny              ,di'nai,v.否认，否定
375,depend,di'pend,v．依靠，依赖；取决于
376,describe,di'skraib,v．描写，叙述
377,deserve,di'zə:v,v．值得
378,design ,di'zain,v．设计，策划
379,desire       ,di'zaiə,"n．愿望；欲望 
v.渴望；热切希望"
380,desk ,desk,n．书桌；写字台
381,destroy,di'strɔi,v．破坏，毁坏
382,detail,"'di:teil, di'teil",n.细节
383,detective ,di'tektiv,"adj．侦探的
 n.侦探"
384,develop,di'veləp,v．发展；开发，培养
385,development ,di'veləpmənt,n．发展
386,dial,"'daiəl, dail",v.拨电话号码
387,dialog,'daiəlɔɡ,n．对话
388,diary ,'daiəri,n．日记；日记簿
389,dictionary ,'dikʃənəri,n．词典，字典
390,die ,dai,v．死
391,diet ,'daiət,n．饮食；食谱；食物
392,difference ,ˈdɪfrəns,n．区别
393,different ,'difərənt,adj．不同的；有差异的
394,difficult ,'difikəlt,adj．困难的；费力的
395,difficulty ,'difikəlti,n．困难
396,dig,diɡ,"v．挖；掘
（dug，dug）"
397,dinner ,'dinə,n．正餐
398,dirty ,'də:ti,adj．脏的
399,disappear ,",disə'piə",v．消失
400,disappointed                     ,",dispɔintid",adj．失望的，沮丧的
401,disaster                           ,",di'zɑ:stə",n.灾难，灾祸
402,discover ,dis'kʌvə,v．发现；看出
403,discuss,dis'kʌs,v．讨论，议论
404,discussion,dis'kʌʃən,n．讨论
405,dish ,dɪʃ,n．盘；碟；盘装菜；盘形物
406,dishonest                       ,dis'ɔnist,adj.  不诚实的，欺骗性的
407,distance ,'distəns,n．距离
408,disturb                           ,dis'tə:b,v. 扰乱；打扰
409,divide,di'vaid,v．1.分，划分；2. (算数用语)除
410,do,du,"v．&aux．做，干（用以构成疑问句及否定句。第三人称单数现在是用does)
（did，done）"
411,doctor,ˈdɒktə,n．医生
412,dog ,"dɔɡ, dɔ:ɡ",n．狗
413,dollar,'dɔlə,n．元（美国、加拿大、澳大利亚等国货币单位）
414,door ,dɔ:,n．门；通道
415,double,'dʌbl,adj.两倍的；双倍的
416,down ,daun,"prep．沿着，沿……而下
adv．向下"
417,downstairs ,'daun'stεəz,adv．到楼下；在楼下
418,draw ,drɔ:," v．1.绘画；绘制；2.拉，拖
(drew，drawn) "
419,dream,dri:m,"n．&v.梦；梦想
(dreamt, dreamt或dreamed, dreamed) "
420,dress ,dres,"n．女服，连衣裙；（统指）服装；童装
v．穿衣；穿着"
421,drink,driŋk,"v．喝；饮
n.饮料；喝酒
（drank，drunk）"
422,drive,draiv,"v．1.驾驶， 开（车）；2.驱赶
（drove，driven） "
423,driver ,draivə,n．司机，驾驶员
424,drop ,drɔp,"n．滴
v．掉下 ，落下；扔掉；放弃"
425,dry ,drai,adj．干的；干燥的
426,duck ,dʌk,n．鸭子
427,dull ,dʌl,adj．单调无味的
428,dumpling ,'dʌmpliŋ,n．馄饨；汤团
429,during ,'djuəriŋ,prep．在……的期间；在……过程中
430,duty,"'dju:ti, 'du:-",n．责任
431,each ,i:tʃ,adj．&pron．每人；每个；每件
432,eager ,'i:ɡə,adj．渴望的；热切的
433,ear ,iə,n．耳朵
434,early ,'ə:li,"adj．早的
adv. 早地"
435,earth,ɜ:θ,n．地球；土；泥；大地
436,earthquake,'ə:θkweik,n.地震
437,easily ,'i:zili,adv．容易地
438,east ,i:st,"adj.东方的;东部的
n．东，东方；东部"
439,easy ,'i:zi,adj．容易的；不费力的
440,eat,i:t,"v．吃
（ate，eaten）"
441,education ,",edju:'keiʃən",n．教育
442,educational ,",edju:'keiʃənəl",adj．教育的
443,effect ,i'fekt,n．效果
444,egg ,eg,n．蛋；卵
445,either,ˈaɪðə(r),"adj．两方任一方的；二者之一的
pron.二者之一；要么……
adv．（用于否定句或短语后）也（不）"
446,elder ,'eldə,adj．年龄较大的；前辈的
447,electric ,i'lektrik,adj．电的
448,electricity ,",ilek'trisəti",n．电
449,elementary ,",eli'mentəri",adj．初级的；基本的
450,elephant ,'elifənt,n．大象
451,else ,els,adv．别的；其他的
452,e-mail , ,"n.电子邮件(email)
v.发电子邮件"
453,empty,'empti,adj．空的
454,enable,i'neibl,v.使……能够，使……有能力
455,encourage,in'kʌridʒ,v.鼓励
456,end ,end,"n．末尾；终点；结束
v．结束，终止"
457,enemy ,'enimi,n．敌人；敌军
458,energy,'enədʒi,n.精力；能量
459,engine ,'endʒin,n．发动机，引擎
460,engineer ,",endʒi'niə",n．工程师；技师
461,England ,ɪŋɡlənd,n．英格兰
462,English ,'iŋɡliʃ,"n．英语；英国人
adj.英国的；英国人的；英语的"
463,enjoy ,in'dʒɔi,v．欣赏；享受；喜欢
464,enjoyable ,ɪnˈdʒɔɪəbl,adj．使人愉快的；使人欢乐的
465,enough ,i'nʌf,"adj．足够的；充分的
adv．足够地；充分地
n.足够；充分"
466,enter,'entə,v．进入；参加
467,entrance ,'entrəns,n．入口；入场
468,envelope ,'envələup,n．信封
469,environment ,in'vaiərənmənt,n．环境
470,equal ,'i:kwəl,"adj.平等的
v．等于"
471,escape,ɪˈskeɪp,n. & v.逃跑；逃脱
472,especially ,i'speʃəli,adv．特别地；尤其
473,estate ,ɪˈsteɪt,n．住宅区
474,Europe ,'juərəp,n．欧洲
475,eve ,i:v,n．（节日的）前夜，前夕
476,even ,'i:vən,adv．1. 甚至；连（……都）；2.更
477,evening ,'i:vniŋ,n．傍晚；晚上
478,event ,i'vent,n．事件；大事；比赛项目
479,ever,'evə,adv．曾经；无论何时
480,every ,'evri,adj．每一；每个的
481,everyone,'evriwʌn,pron．每人；人人(=everybody)
482,everyday ,'evridei,adj．每日的；日常的
483,everything ,evriθɪŋ,pron．每件事；事事
484,everywhere ,evrihwεə,adv．到处
485,exactly,iɡ'zæktli,adv.确切地（表示赞同的回答）；确实如此
486,exam,iɡ'zæm,"n．考试, 测试；检查(=examination )"
487,examine,iɡ'zæmin,v.检查，细查；对……进行考试
488,example ,iɡ'zɑ:mpl,n．例子；榜样
489,excellent ,'eksələnt,adj．极好的，优秀的
490,except,ik'sept,prep．除……之外
491,exchange ,iks'tʃeindʒ,v．交换；交流
492,excited ,ik'saitid,adj．兴奋的
493,exciting ,ik'saitiŋ,adj．使人兴奋的
494,excuse ,"ik'skju:z, ik'skju:s","v．原谅；宽恕
n.借口；辩解"
495,exercise ,'eksəsaiz,n．锻炼；做操；练习；习题
496,exhibition ,",eksi'biʃən",n．展览；展览会
497,expect,ik'spekt,v．预料；期待；认为
498,expensive,ik'spensiv,adj．昂贵的
499,experience ,ik'spiəriəns,n．经验；经历
500,experiment ,"ik'speriment, ek's-",n．实验
501,explain ,ik'splein,v．解释，说明
502,express,ik'spres,v．表达；表示
503,eye ,ai,n．眼睛
504,fable,'feibl,n．寓言
505,face,feis,n．脸；面孔
506,fact,fækt,n．事实；现实；实际
507,factory,'fæktəri,n．工厂
508,fail,feil,v．失败；不及格
509,fair,fεə,adj．公平的；合理的；金色的
510,fall,fɔ:l,"v．落下；降落；倒下；跌倒(fell，fallen）
n.(美)秋季"
511,familiar,fə'miljə,adj．熟悉的
512,family,ˈfæməli,n．家庭；家族；家人
513,famous,'feiməs,adj．著名的
514,fan,fæn,n．1. (电影、运动的)迷；热心的爱好者（支持者）
515,far,fɑ:,"adj．远的
adv．远地
(比较级farther,最高级farthest;或比较级further,最高级furthest）"
516,farm,fɑ:m,n．农场；农庄
517,farmer,'fɑ:mə,n．农民，农夫
518,fast,"fɑ:st, fæst",adj．快的；迅速的
519,fat,fæt,"adj．胖的；肥的
n.脂肪"
520,father,'fɑ:ðə,n．父亲
521,favor,'feivə,n．恩惠；好意；帮助
522,favorite,'feivərit,"adj．最喜爱的
n.特别喜爱的人（或物）"
523,fear,fiə,n．害怕；恐惧
524,February,'februəri,n．二月
525,feed,fi:d,"v．喂养；饲养
（fed, fed）"
526,feel,'fi:l,"v．&link.感觉，觉得；摸，触
（felt，felt）"
527,female,'fi:meil,n．女的；女性的；雌性的
528,fence,'fens,n．栅栏；围栏；篱笆
